[1] 1.000000e+02 2.559676e-04 6.399797e-05 1.599987e-05 3.999992e-06 9.999995e-07
[1] 2.000000e+02 5.118696e-04 1.279918e-04 3.199949e-05 7.999968e-06 1.999998e-06
[1] 3.000000e+02 7.677061e-04 1.919816e-04 4.799885e-05 1.199993e-05 2.999996e-06
[1] 4.000000e+02 1.023477e-03 2.559673e-04 6.399796e-05 1.599987e-05 3.999992e-06
[1] 5.000000e+02 1.279183e-03 3.199489e-04 7.999681e-05 1.999980e-05 4.999988e-06
[1] 6.000000e+02 1.534823e-03 3.839264e-04 9.599540e-05 2.399971e-05 5.999982e-06
[1] 7.000000e+02 1.790398e-03 4.478998e-04 1.119937e-04 2.799961e-05 6.999976e-06
[1] 8.000000e+02 2.045907e-03 5.118691e-04 1.279918e-04 3.199949e-05 7.999968e-06
[1] 9.000000e+02 2.301351e-03 5.758343e-04 1.439896e-04 3.599935e-05 8.999960e-06
[1] 1.000000e+03 2.556729e-03 6.397954e-04 1.599872e-04 3.999920e-05 9.999950e-06
[1] 1.100000e+03 2.812042e-03 7.037525e-04 1.759845e-04 4.399903e-05 1.099994e-05
[1] 1.200000e+03 3.067290e-03 7.677054e-04 1.919816e-04 4.799885e-05 1.199993e-05
[1] 1.300000e+03 3.322473e-03 8.316542e-04 2.079784e-04 5.199865e-05 1.299992e-05
[1] 1.400000e+03 3.577590e-03 8.955990e-04 2.239749e-04 5.599843e-05 1.399990e-05
[1] 1.500000e+03 3.832642e-03 9.595397e-04 2.399712e-04 5.999820e-05 1.499989e-05
[1] 1.600000e+03 4.087628e-03 1.023476e-03 2.559673e-04 6.399795e-05 1.599987e-05
[1] 1.700000e+03 4.342549e-03 1.087409e-03 2.719630e-04 6.799769e-05 1.699986e-05
[1] 1.800000e+03 4.597405e-03 1.151337e-03 2.879586e-04 7.199741e-05 1.799984e-05
[1] 1.900000e+03 4.852196e-03 1.215261e-03 3.039538e-04 7.599711e-05 1.899982e-05
[1] 2.000000e+03 5.106922e-03 1.279182e-03 3.199488e-04 7.999680e-05 1.999980e-05
[1] 2.100000e+03 5.361582e-03 1.343098e-03 3.359436e-04 8.399647e-05 2.099978e-05
[1] 2.200000e+03 5.616177e-03 1.407010e-03 3.519381e-04 8.799613e-05 2.199976e-05
[1] 2.300000e+03 5.870707e-03 1.470918e-03 3.679323e-04 9.199577e-05 2.299974e-05
[1] 2.400000e+03 6.125172e-03 1.534821e-03 3.839263e-04 9.599539e-05 2.399971e-05
[1] 2.500000e+03 6.379572e-03 1.598721e-03 3.999200e-04 9.999500e-05 2.499969e-05
[1] 2.600000e+03 6.633906e-03 1.662617e-03 4.159135e-04 1.039946e-04 2.599966e-05
[1] 2.700000e+03 6.888176e-03 1.726508e-03 4.319067e-04 1.079942e-04 2.699964e-05
[1] 2.800000e+03 7.142380e-03 1.790396e-03 4.478997e-04 1.119937e-04 2.799961e-05
[1] 2.900000e+03 7.396520e-03 1.854279e-03 4.638924e-04 1.159933e-04 2.899958e-05
[1] 3.000000e+03 7.650594e-03 1.918159e-03 4.798849e-04 1.199928e-04 2.999955e-05
[1] 3.100000e+03 7.904603e-03 1.982034e-03 4.958771e-04 1.239923e-04 3.099952e-05
[1] 3.200000e+03 8.158547e-03 2.045905e-03 5.118690e-04 1.279918e-04 3.199949e-05
[1] 3.300000e+03 8.412427e-03 2.109772e-03 5.278607e-04 1.319913e-04 3.299946e-05
[1] 3.400000e+03 8.666241e-03 2.173635e-03 5.438521e-04 1.359908e-04 3.399942e-05
[1] 3.500000e+03 8.919990e-03 2.237494e-03 5.598433e-04 1.399902e-04 3.499939e-05
[1] 3.600000e+03 9.173675e-03 2.301349e-03 5.758342e-04 1.439896e-04 3.599935e-05
[1] 3.700000e+03 9.427294e-03 2.365199e-03 5.918248e-04 1.479891e-04 3.699932e-05
[1] 3.800000e+03 9.680848e-03 2.429046e-03 6.078153e-04 1.519885e-04 3.799928e-05
[1] 3.900000e+03 9.934338e-03 2.492888e-03 6.238054e-04 1.559878e-04 3.899924e-05
[1] 4.000000e+03 1.018776e-02 2.556727e-03 6.397953e-04 1.599872e-04 3.999920e-05
[1] 4.100000e+03 1.044112e-02 2.620561e-03 6.557849e-04 1.639866e-04 4.099916e-05
[1] 4.200000e+03 1.069442e-02 2.684391e-03 6.717743e-04 1.679859e-04 4.199912e-05
[1] 4.300000e+03 1.094765e-02 2.748218e-03 6.877634e-04 1.719852e-04 4.299908e-05
[1] 4.400000e+03 1.120081e-02 2.812040e-03 7.037523e-04 1.759845e-04 4.399903e-05
[1] 4.500000e+03 1.145391e-02 2.875858e-03 7.197409e-04 1.799838e-04 4.499899e-05
[1] 4.600000e+03 1.170695e-02 2.939672e-03 7.357293e-04 1.839831e-04 4.599894e-05
[1] 4.700000e+03 1.195992e-02 3.003481e-03 7.517174e-04 1.879823e-04 4.699890e-05
[1] 4.800000e+03 1.221283e-02 3.067287e-03 7.677052e-04 1.919816e-04 4.799885e-05
[1] 4.900000e+03 1.246567e-02 3.131089e-03 7.836928e-04 1.959808e-04 4.899880e-05
[1] 5.000000e+03 1.271844e-02 3.194886e-03 7.996801e-04 1.999800e-04 4.999875e-05
[1] 5.100000e+03 1.297116e-02 3.258680e-03 8.156672e-04 2.039792e-04 5.099870e-05
[1] 5.200000e+03 1.322380e-02 3.322469e-03 8.316541e-04 2.079784e-04 5.199865e-05
[1] 5.300000e+03 1.347639e-02 3.386255e-03 8.476406e-04 2.119775e-04 5.299860e-05
[1] 5.400000e+03 1.372890e-02 3.450036e-03 8.636269e-04 2.159767e-04 5.399854e-05
[1] 5.500000e+03 1.398136e-02 3.513813e-03 8.796130e-04 2.199758e-04 5.499849e-05
[1] 5.600000e+03 1.423375e-02 3.577586e-03 8.955988e-04 2.239749e-04 5.599843e-05
[1] 5.700000e+03 1.448607e-02 3.641355e-03 9.115843e-04 2.279740e-04 5.699838e-05
[1] 5.800000e+03 1.473833e-02 3.705120e-03 9.275696e-04 2.319731e-04 5.799832e-05
[1] 5.900000e+03 1.499053e-02 3.768881e-03 9.435546e-04 2.359722e-04 5.899826e-05
[1] 6.000000e+03 1.524266e-02 3.832638e-03 9.595394e-04 2.399712e-04 5.999820e-05
[1] 6.100000e+03 1.549472e-02 3.896391e-03 9.755239e-04 2.439702e-04 6.099814e-05
[1] 6.200000e+03 1.574672e-02 3.960139e-03 9.915082e-04 2.479693e-04 6.199808e-05
[1] 6.300000e+03 1.599866e-02 4.023884e-03 1.007492e-03 2.519683e-04 6.299802e-05
[1] 6.400000e+03 1.625053e-02 4.087624e-03 1.023476e-03 2.559672e-04 6.399795e-05
[1] 6.500000e+03 1.650234e-02 4.151361e-03 1.039459e-03 2.599662e-04 6.499789e-05
[1] 6.600000e+03 1.675408e-02 4.215093e-03 1.055443e-03 2.639652e-04 6.599782e-05
[1] 6.700000e+03 1.700576e-02 4.278821e-03 1.071426e-03 2.679641e-04 6.699776e-05
[1] 6.800000e+03 1.725738e-02 4.342545e-03 1.087408e-03 2.719630e-04 6.799769e-05
[1] 6.900000e+03 1.750893e-02 4.406265e-03 1.103391e-03 2.759619e-04 6.899762e-05
[1] 7.000000e+03 1.776041e-02 4.469981e-03 1.119373e-03 2.799608e-04 6.999755e-05
[1] 7.100000e+03 1.801184e-02 4.533693e-03 1.135355e-03 2.839597e-04 7.099748e-05
[1] 7.200000e+03 1.826319e-02 4.597401e-03 1.151337e-03 2.879585e-04 7.199741e-05
[1] 7.300000e+03 1.851449e-02 4.661105e-03 1.167318e-03 2.919574e-04 7.299734e-05
[1] 7.400000e+03 1.876571e-02 4.724804e-03 1.183299e-03 2.959562e-04 7.399726e-05
[1] 7.500000e+03 1.901688e-02 4.788500e-03 1.199280e-03 2.999550e-04 7.499719e-05
[1] 7.600000e+03 1.926798e-02 4.852191e-03 1.215261e-03 3.039538e-04 7.599711e-05
[1] 7.700000e+03 1.951901e-02 4.915879e-03 1.231241e-03 3.079526e-04 7.699704e-05
[1] 7.800000e+03 1.976998e-02 4.979562e-03 1.247222e-03 3.119513e-04 7.799696e-05
[1] 7.900000e+03 2.002089e-02 5.043242e-03 1.263202e-03 3.159501e-04 7.899688e-05
[1] 8.000000e+03 2.027173e-02 5.106917e-03 1.279181e-03 3.199488e-04 7.999680e-05
[1] 8.100000e+03 2.052251e-02 5.170588e-03 1.295161e-03 3.239475e-04 8.099672e-05
[1] 8.200000e+03 2.077323e-02 5.234255e-03 1.311140e-03 3.279462e-04 8.199664e-05
[1] 8.300000e+03 2.102388e-02 5.297918e-03 1.327119e-03 3.319449e-04 8.299656e-05
[1] 8.400000e+03 2.127446e-02 5.361577e-03 1.343097e-03 3.359436e-04 8.399647e-05
[1] 8.500000e+03 2.152499e-02 5.425232e-03 1.359076e-03 3.399422e-04 8.499639e-05
[1] 8.600000e+03 2.177544e-02 5.488882e-03 1.375054e-03 3.439408e-04 8.599630e-05
[1] 8.700000e+03 2.202584e-02 5.552529e-03 1.391032e-03 3.479395e-04 8.699622e-05
[1] 8.800000e+03 2.227617e-02 5.616172e-03 1.407009e-03 3.519381e-04 8.799613e-05
[1] 8.900000e+03 2.252643e-02 5.679810e-03 1.422987e-03 3.559366e-04 8.899604e-05
[1] 9.000000e+03 2.277663e-02 5.743445e-03 1.438964e-03 3.599352e-04 8.999595e-05
[1] 9.100000e+03 2.302677e-02 5.807075e-03 1.454941e-03 3.639338e-04 9.099586e-05
[1] 9.200000e+03 2.327685e-02 5.870702e-03 1.470917e-03 3.679323e-04 9.199577e-05
[1] 9.300000e+03 2.352686e-02 5.934324e-03 1.486894e-03 3.719308e-04 9.299568e-05
[1] 9.400000e+03 2.377680e-02 5.997942e-03 1.502870e-03 3.759293e-04 9.399558e-05
[1] 9.500000e+03 2.402668e-02 6.061556e-03 1.518846e-03 3.799278e-04 9.499549e-05
[1] 9.600000e+03 2.427650e-02 6.125166e-03 1.534821e-03 3.839263e-04 9.599539e-05
[1] 9.700000e+03 2.452625e-02 6.188772e-03 1.550796e-03 3.879247e-04 9.699530e-05
[1] 9.800000e+03 2.477594e-02 6.252374e-03 1.566771e-03 3.919232e-04 9.799520e-05
[1] 9.900000e+03 2.502557e-02 6.315972e-03 1.582746e-03 3.959216e-04 9.899510e-05
[1] 1.000000e+04 2.527513e-02 6.379566e-03 1.598721e-03 3.999200e-04 9.999500e-05
