[1] 1.000000e+02 2.273202e-05 1.510512e-06 9.734789e-08 6.178351e-09 3.891230e-10
[1] 2.000000e+02 3.302446e-04 2.337819e-05 1.555376e-06 1.003024e-07 6.367889e-09
[1] 3.000000e+02 1.488388e-03 1.121872e-04 7.704286e-06 5.048058e-07 3.230535e-08
[1] 4.000000e+02 4.169738e-03 3.344593e-04 2.370494e-05 1.578093e-06 1.017994e-07
[1] 5.000000e+02 9.012402e-03 7.688299e-04 5.623063e-05 3.803241e-06 2.473010e-07
[1] 6.000000e+02 1.654089e-02 1.499837e-03 1.131810e-04 7.777274e-06 5.097473e-07
[1] 7.000000e+02 2.712924e-02 2.613068e-03 2.034259e-04 1.420098e-05 9.382052e-07
[1] 8.000000e+02 4.099189e-02 4.191445e-03 3.365758e-04 2.386924e-05 1.589522e-06
[1] 9.000000e+02 5.819185e-02 6.312446e-03 5.227784e-04 3.766188e-05 2.527988e-06
[1] 1.000000e+03 7.865894e-02 9.046123e-03 7.725370e-04 5.653501e-05 3.825002e-06
[1] 1.100000e+03 1.022128e-01 1.245374e-02 1.096551e-03 8.151277e-05 5.558756e-06
[1] 1.200000e+03 1.285875e-01 1.658697e-02 1.505574e-03 1.136796e-04 7.813912e-06
[1] 1.300000e+03 1.574551e-01 2.148745e-02 2.010292e-03 1.541729e-04 1.068131e-05
[1] 1.400000e+03 1.884479e-01 2.718674e-02 2.621216e-03 2.041760e-04 1.425765e-05
[1] 1.500000e+03 2.211766e-01 3.370649e-02 3.348589e-03 2.649118e-04 1.864522e-05
[1] 1.600000e+03 2.552470e-01 4.105883e-02 4.202308e-03 3.376364e-04 2.395161e-05
[1] 1.700000e+03 2.902724e-01 4.924691e-02 5.191856e-03 4.236333e-04 3.028944e-05
[1] 1.800000e+03 3.258835e-01 5.826554e-02 6.326246e-03 5.242081e-04 3.777608e-05
[1] 1.900000e+03 3.617361e-01 6.810189e-02 7.613975e-03 6.406833e-04 4.653340e-05
[1] 2.000000e+03 3.975159e-01 7.873626e-02 9.062989e-03 7.743933e-04 5.668752e-05
[1] 2.100000e+03 4.329415e-01 9.014284e-02 1.068065e-02 9.266800e-04 6.836855e-05
[1] 2.200000e+03 4.677664e-01 1.022905e-01 1.247372e-02 1.098889e-03 8.171037e-05
[1] 2.300000e+03 5.017786e-01 1.151435e-01 1.444833e-02 1.292363e-03 9.685039e-05
[1] 2.400000e+03 5.348003e-01 1.286623e-01 1.661001e-02 1.508445e-03 1.139293e-04
[1] 2.500000e+03 5.666863e-01 1.428043e-01 1.896363e-02 1.748465e-03 1.330909e-04
