[1] 1.000000e+02 3.883645e-04 2.707429e-05 1.785183e-06 1.145655e-07 7.255122e-09
[1] 2.000000e+02 4.989633e-03 3.914841e-04 2.731967e-05 1.802305e-06 1.156949e-07
[1] 3.000000e+02 2.001804e-02 1.774781e-03 1.313024e-04 8.909186e-06 5.798073e-07
[1] 4.000000e+02 4.985449e-02 5.004727e-03 3.930460e-04 2.744267e-05 1.810893e-06
[1] 5.000000e+02 9.564654e-02 1.087721e-02 9.077097e-04 6.524237e-05 4.365908e-06
[1] 6.000000e+02 1.557082e-01 2.004669e-02 1.778909e-03 1.316731e-04 8.936647e-06
[1] 7.000000e+02 2.265675e-01 3.296995e-02 3.112618e-03 2.373403e-04 1.633928e-05
[1] 8.000000e+02 3.040276e-01 4.988870e-02 5.012271e-03 3.938275e-04 2.750426e-05
[1] 9.000000e+02 3.839732e-01 7.083838e-02 7.574921e-03 6.134556e-04 4.346650e-05
[1] 1.000000e+03 4.628668e-01 9.567333e-02 1.088837e-02 9.090625e-04 6.535604e-05
[1] 1.100000e+03 5.379781e-01 1.241003e-01 1.502911e-02 1.293804e-03 9.438894e-05
[1] 1.200000e+03 6.074224e-01 1.557149e-01 2.006100e-02 1.780973e-03 1.318586e-04
[1] 1.300000e+03 6.700827e-01 1.900374e-01 2.603447e-02 2.383838e-03 1.791272e-04
[1] 1.400000e+03 7.254741e-01 2.265451e-01 3.298637e-02 3.115502e-03 2.376181e-04
[1] 1.500000e+03 7.735922e-01 2.647001e-01 4.094002e-02 3.988769e-03 3.088078e-04
[1] 1.600000e+03 8.147693e-01 3.039721e-01 4.990577e-02 5.016041e-03 3.942184e-04
[1] 1.700000e+03 8.495510e-01 3.438561e-01 5.988169e-02 6.209216e-03 4.954113e-04
[1] 1.800000e+03 8.785986e-01 3.838852e-01 7.085446e-02 7.579605e-03 6.139797e-04
[1] 1.900000e+03 9.026166e-01 4.236395e-01 8.280043e-02 9.137867e-03 7.515427e-04
[1] 2.000000e+03 9.223016e-01 4.627506e-01 9.568670e-02 1.089395e-02 9.097389e-04
[1] 2.100000e+03 9.383095e-01 5.009044e-01 1.094723e-01 1.285704e-02 1.090221e-03
[1] 2.200000e+03 9.512367e-01 5.378402e-01 1.241093e-01 1.503553e-02 1.294650e-03
[1] 2.300000e+03 9.616111e-01 5.733490e-01 1.395441e-01 1.743699e-02 1.524691e-03
[1] 2.400000e+03 9.698903e-01 6.072701e-01 1.557182e-01 2.006815e-02 1.782005e-03
